"Date","InCount","outlier"
"213","2010-02-14","7635",2
"214","2010-02-15","6417",2
"215","2010-02-16","7719",2
"216","2010-02-17","7446",2
"217","2010-02-18","7028",2
"218","2010-02-19","11490",2
"219","2010-02-20","10781",2
"220","2010-02-21","8685",2
"221","2010-02-22","5670",2
"222","2010-02-23","6286",2
"223","2010-02-24","6453",2
"224","2010-02-25","6700",2
"225","2010-02-26","9735",2
"226","2010-02-27","12138",2
"227","2010-02-28","9479",2
"228","2010-03-01","6302",2
"229","2010-03-02","8067",2
"230","2010-03-03","7512",2
"231","2010-03-04","8065",2
"232","2010-03-05","11099",2
"233","2010-03-06","11108",2
"234","2010-03-07","8149",2
"235","2010-03-08","5888",2
"236","2010-03-09","6623",2
"237","2010-03-10","7580",2
"238","2010-03-11","7475",2
"239","2010-03-12","9872",2
"240","2010-03-13","10527",2
"241","2010-03-14","6944",2
"242","2010-03-15","5590",2
"243","2010-03-16","6934",2
"244","2010-03-17","8168",2
"245","2010-03-18","8759",2
"246","2010-03-19","9636",2
"247","2010-03-20","9753",2
"248","2010-03-21","8314",2
"249","2010-03-22","5979",2
"250","2010-03-23","6523",2
"251","2010-03-24","7123",2
"252","2010-03-25","6584",2
"253","2010-03-26","11240",2
"254","2010-03-27","13622",2
"255","2010-03-28","9549",2
"256","2010-03-29","5978",2
"257","2010-03-30","7128",2
"258","2010-03-31","6086",2
"259","2010-04-01","10192",2
"260","2010-04-02","13099",2
"261","2010-04-03","9007",2
"262","2010-04-04","9420",2
"263","2010-04-05","7851",2
"264","2010-04-06","7102",2
"265","2010-04-07","7179",2
"266","2010-04-08","7676",2
"267","2010-04-09","10909",2
"268","2010-04-10","10250",2
"269","2010-04-11","7418",2
"270","2010-04-12","5669",2
"271","2010-04-13","6177",2
"272","2010-04-14","7059",2
"273","2010-04-15","7767",2
"274","2010-04-16","11660",2
"275","2010-04-17","10959",2
"276","2010-04-18","8168",2
"277","2010-04-19","6143",2
"278","2010-04-20","7320",2
"279","2010-04-21","7090",2
"280","2010-04-22","7246",2
"281","2010-04-23","10715",2
"282","2010-04-24","11836",2
"283","2010-04-25","9099",2
"284","2010-04-26","6609",2
"285","2010-04-27","7769",2
"286","2010-04-28","7693",2
"287","2010-04-29","7920",2
"288","2010-04-30","11651",2
"289","2010-05-01","12586",2
"290","2010-05-02","10196",2
"291","2010-05-03","8632",2
"292","2010-05-04","7176",2
"293","2010-05-05","8535",2
"294","2010-05-06","7335",2
"295","2010-05-07","9495",2
"296","2010-05-08","10436",2
"297","2010-05-09","7742",2
"298","2010-05-10","5561",2
"299","2010-05-11","6321",2
"300","2010-05-12","7130",2
"301","2010-05-13","7051",2
"302","2010-05-14","10185",2
"303","2010-05-15","11315",2
"304","2010-05-16","9070",2
"305","2010-05-17","5787",2
"306","2010-05-18","6963",2
"307","2010-05-19","7564",2
"308","2010-05-20","7494",2
"309","2010-05-21","11829",2
"310","2010-05-22","11443",2
"311","2010-05-23","8463",2
"312","2010-05-24","6284",2
"313","2010-05-25","6048",2
"314","2010-05-26","7570",2
"315","2010-05-27","8129",2
"316","2010-05-28","11901",2
"317","2010-05-29","10158",2
"318","2010-05-30","10033",2
"319","2010-05-31","8594",2
"320","2010-06-01","6233",2
"321","2010-06-02","7417",2
"322","2010-06-03","8732",2
"323","2010-06-04","11781",2
"324","2010-06-05","10399",2
"325","2010-06-06","8778",2
"326","2010-06-07","5963",2
"327","2010-06-08","6156",2
"328","2010-06-09","6225",2
"329","2010-06-10","6965",2
"330","2010-06-11","10435",2
"331","2010-06-12","10120",2
"332","2010-06-13","7771",2
"333","2010-06-14","5375",2
"334","2010-06-15","6425",2
"335","2010-06-16","6675",2
"336","2010-06-17","7210",2
"337","2010-06-18","11443",2
"338","2010-06-19","12481",2
"339","2010-06-20","9013",2
"340","2010-06-21","5732",2
"341","2010-06-22","6355",2
"342","2010-06-23","7627",2
"343","2010-06-24","8815",2
"344","2010-06-25","11271",2
"345","2010-06-26","12654",2
"346","2010-06-27","10012",2
"347","2010-06-28","6113",2
"348","2010-06-29","5994",2
"349","2010-06-30","6834",2
"350","2010-07-01","6584",2
"351","2010-07-02","10679",2
"352","2010-07-03","12625",2
"353","2010-07-04","9542",2
"354","2010-07-05","5565",2
"355","2010-07-06","6060",2
"356","2010-07-07","6735",2
"357","2010-07-08","6673",2
"358","2010-07-09","12700",2
"359","2010-07-10","13922",2
"360","2010-07-11","10929",2
"361","2010-07-12","6051",2
"362","2010-07-13","5770",2
"363","2010-07-14","5829",2
"364","2010-07-15","5997",2
"365","2010-07-16","10473",2
"366","2010-07-17","13855",2
"367","2010-07-18","10631",2
"368","2010-07-19","6029",2
"369","2010-07-20","5551",2
"370","2010-07-21","6427",2
"371","2010-07-22","7203",2
"372","2010-07-23","12373",2
"373","2010-07-24","12707",2
"374","2010-07-25","9724",2
"375","2010-07-26","5446",2
"376","2010-07-27","6511",2
"377","2010-07-28","6467",2
"378","2010-07-29","7064",2
"379","2010-07-30","10924",2
"380","2010-07-31","13158",2
"381","2010-08-01","11557",2
"382","2010-08-02","6686",2
"383","2010-08-03","6069",2
"384","2010-08-04","6697",2
"385","2010-08-05","7285",2
"386","2010-08-06","10695",2
"387","2010-08-07","12792",2
"388","2010-08-08","12287",2
"389","2010-08-09","5900",2
"390","2010-08-10","6225",2
"391","2010-08-11","6029",2
"392","2010-08-12","6691",2
"393","2010-08-13","9498",2
"394","2010-08-14","10340",2
"395","2010-08-15","10727",2
"396","2010-08-16","5669",2
"397","2010-08-17","5801",2
"398","2010-08-18","6746",2
"399","2010-08-19","7303",2
"400","2010-08-20","13794",2
"401","2010-08-21","11225",2
"402","2010-08-22","9793",2
"403","2010-08-23","6179",2
"404","2010-08-24","6471",2
"405","2010-08-25","6710",2
"406","2010-08-26","7045",2
"407","2010-08-27","11133",2
"408","2010-08-28","10895",2
"409","2010-08-29","9880",2
"410","2010-08-30","9089",2
"411","2010-08-31","6647",2
"412","2010-09-01","6213",2
"413","2010-09-02","7328",2
"414","2010-09-03","10448",2
"415","2010-09-04","10519",2
"416","2010-09-05","9102",2
"417","2010-09-06","5454",2
"418","2010-09-07","5947",2
"419","2010-09-08","6920",2
"420","2010-09-09","6691",2
"421","2010-09-10","10560",2
"422","2010-09-11","12565",2
"423","2010-09-12","10667",2
"424","2010-09-13","6605",2
"425","2010-09-14","6864",2
"426","2010-09-15","6037",2
"427","2010-09-16","7348",2
"428","2010-09-17","11056",2
"429","2010-09-18","11471",2
"430","2010-09-19","10469",2
"431","2010-09-20","7484",2
"432","2010-09-21","11755",2
"433","2010-09-22","11174",2
"434","2010-09-23","8640",2
"435","2010-09-24","12911",2
"436","2010-09-25","15560",2
"437","2010-09-26","13827",2
"438","2010-09-27","5939",2
"439","2010-09-28","7475",2
"440","2010-09-29","8301",2
"441","2010-09-30","9178",2
"442","2010-10-01","12191",2
"443","2010-10-02","12866",2
"444","2010-10-03","12043",2
"445","2010-10-04","7034",2
"446","2010-10-05","10037",2
"447","2010-10-06","9357",2
"448","2010-10-07","8444",2
"449","2010-10-08","13671",2
"450","2010-10-09","12882",2
"451","2010-10-10","12621",2
"452","2010-10-11","5945",2
"453","2010-10-12","7589",2
"454","2010-10-13","9319",2
"455","2010-10-14","7799",2
"456","2010-10-15","12470",2
"457","2010-10-16","13699",2
"458","2010-10-17","11627",2
"459","2010-10-18","5437",2
"460","2010-10-19","6705",2
"461","2010-10-20","8023",2
"462","2010-10-21","8230",2
"463","2010-10-22","12463",2
"464","2010-10-23","12166",2
"465","2010-10-24","11271",2
"466","2010-10-25","6401",2
"467","2010-10-26","6863",2
"468","2010-10-27","9190",2
"469","2010-10-28","8406",2
"470","2010-10-29","14749",2
"471","2010-10-30","16128",2
"472","2010-10-31","16593",2
"473","2010-11-01","6965",2
"474","2010-11-02","6356",2
"475","2010-11-03","7559",2
"476","2010-11-04","6518",2
"477","2010-11-05","10658",2
"478","2010-11-06","11438",2
