Date,InCount,BRCWeek,LocationName,Hour,Weekday,NewDate,Month,Year,Day,Day_yr,Month_yr,Week_yr,Hour_yr,week_no
01/01/2011,926,52,BriggateAtMcDs,14,Saturday,01-Jan-11,1,2011,1,Saturday/01-Jan-2011,Jan-11,00-2011,"00, 01-Jan-2011",1
01/01/2011,953,52,BriggateAtMcDs,15,Saturday,01-Jan-11,1,2011,1,Saturday/01-Jan-2011,Jan-11,00-2011,"00, 01-Jan-2011",1
01/01/2011,630,52,BriggateAtMcDs,16,Saturday,01-Jan-11,1,2011,1,Saturday/01-Jan-2011,Jan-11,00-2011,"00, 01-Jan-2011",1
01/01/2011,382,52,BriggateAtMcDs,17,Saturday,01-Jan-11,1,2011,1,Saturday/01-Jan-2011,Jan-11,00-2011,"00, 01-Jan-2011",1
01/01/2011,171,52,BriggateAtMcDs,18,Saturday,01-Jan-11,1,2011,1,Saturday/01-Jan-2011,Jan-11,00-2011,"00, 01-Jan-2011",1
01/01/2011,74,52,BriggateAtMcDs,19,Saturday,01-Jan-11,1,2011,1,Saturday/01-Jan-2011,Jan-11,00-2011,"00, 01-Jan-2011",1
01/01/2011,44,52,BriggateAtMcDs,20,Saturday,01-Jan-11,1,2011,1,Saturday/01-Jan-2011,Jan-11,00-2011,"00, 01-Jan-2011",1
01/01/2011,53,52,BriggateAtMcDs,21,Saturday,01-Jan-11,1,2011,1,Saturday/01-Jan-2011,Jan-11,00-2011,"00, 01-Jan-2011",1
01/01/2011,41,52,BriggateAtMcDs,22,Saturday,01-Jan-11,1,2011,1,Saturday/01-Jan-2011,Jan-11,00-2011,"00, 01-Jan-2011",1
01/01/2011,43,52,BriggateAtMcDs,23,Saturday,01-Jan-11,1,2011,1,Saturday/01-Jan-2011,Jan-11,00-2011,"00, 01-Jan-2011",1
01/01/2011,173,52,AlbionStNorth,0,Saturday,01-Jan-11,1,2011,1,Saturday/01-Jan-2011,Jan-11,00-2011,"00, 01-Jan-2011",1
01/01/2011,154,52,AlbionStNorth,1,Saturday,01-Jan-11,1,2011,1,Saturday/01-Jan-2011,Jan-11,00-2011,"00, 01-Jan-2011",1
