"V1","V2","V3","V4"
"2017-04-26","14","2017-04-26-14","15640"
"2017-04-26","15","2017-04-26-15","14059"
"2017-04-26","16","2017-04-26-16","14611"
"2017-04-26","17","2017-04-26-17","13172"
"2017-04-26","18","2017-04-26-18","9208"
"2017-04-26","19","2017-04-26-19","5615"
"2017-04-26","20","2017-04-26-20","2926"
"2017-04-26","21","2017-04-26-21","2134"
"2017-04-26","22","2017-04-26-22","1699"
"2017-04-26","23","2017-04-26-23","841"
"2017-04-27","0","2017-04-27-0","729"
"2017-04-27","1","2017-04-27-1","510"
"2017-04-27","2","2017-04-27-2","589"
"2017-04-27","3","2017-04-27-3","514"
"2017-04-27","4","2017-04-27-4","386"
"2017-04-27","5","2017-04-27-5","579"
"2017-04-27","6","2017-04-27-6","1124"
"2017-04-27","7","2017-04-27-7","2854"
"2017-04-27","8","2017-04-27-8","6274"
"2017-04-27","9","2017-04-27-9","7068"
"2017-04-27","10","2017-04-27-10","9404"
"2017-04-27","11","2017-04-27-11","12951"
"2017-04-27","12","2017-04-27-12","21889"
"2017-04-27","13","2017-04-27-13","22502"
"2017-04-27","14","2017-04-27-14","16055"
"2017-04-27","15","2017-04-27-15","14315"
"2017-04-27","16","2017-04-27-16","14735"
"2017-04-27","17","2017-04-27-17","15220"
"2017-04-27","18","2017-04-27-18","10338"
"2017-04-27","19","2017-04-27-19","5514"
"2017-04-27","20","2017-04-27-20","3093"
"2017-04-27","21","2017-04-27-21","2193"
"2017-04-27","22","2017-04-27-22","2053"
"2017-04-27","23","2017-04-27-23","1593"
"2017-04-28","0","2017-04-28-0","692"
"2017-04-28","1","2017-04-28-1","374"
"2017-04-28","2","2017-04-28-2","293"
"2017-04-28","3","2017-04-28-3","364"
"2017-04-28","4","2017-04-28-4","211"
"2017-04-28","5","2017-04-28-5","374"
"2017-04-28","6","2017-04-28-6","1126"
"2017-04-28","7","2017-04-28-7","2949"
"2017-04-28","8","2017-04-28-8","5777"
"2017-04-28","9","2017-04-28-9","7640"
"2017-04-28","10","2017-04-28-10","10669"
"2017-04-28","11","2017-04-28-11","14914"
"2017-04-28","12","2017-04-28-12","23476"
"2017-04-28","13","2017-04-28-13","24174"
"2017-04-28","14","2017-04-28-14","19163"
"2017-04-28","15","2017-04-28-15","18125"
"2017-04-28","16","2017-04-28-16","19074"
"2017-04-28","17","2017-04-28-17","16511"
"2017-04-28","18","2017-04-28-18","10691"
"2017-04-28","19","2017-04-28-19","7105"
"2017-04-28","20","2017-04-28-20","4551"
"2017-04-28","21","2017-04-28-21","3433"
"2017-04-28","22","2017-04-28-22","3404"
"2017-04-28","23","2017-04-28-23","2786"
"2017-04-29","0","2017-04-29-0","2497"
"2017-04-29","1","2017-04-29-1","1970"
"2017-04-29","2","2017-04-29-2","1500"
"2017-04-29","3","2017-04-29-3","1229"
"2017-04-29","4","2017-04-29-4","841"
"2017-04-29","5","2017-04-29-5","624"
"2017-04-29","6","2017-04-29-6","724"
"2017-04-29","7","2017-04-29-7","1032"
"2017-04-29","8","2017-04-29-8","2694"
"2017-04-29","9","2017-04-29-9","7179"
"2017-04-29","10","2017-04-29-10","14120"
"2017-04-29","11","2017-04-29-11","21680"
"2017-04-29","12","2017-04-29-12","27152"
"2017-04-29","13","2017-04-29-13","30237"
"2017-04-29","14","2017-04-29-14","31025"
"2017-04-29","15","2017-04-29-15","28761"
"2017-04-29","16","2017-04-29-16","24646"
"2017-04-29","17","2017-04-29-17","19677"
"2017-04-29","18","2017-04-29-18","12629"
"2017-04-29","19","2017-04-29-19","8576"
"2017-04-29","20","2017-04-29-20","5998"
"2017-04-29","21","2017-04-29-21","4739"
"2017-04-29","22","2017-04-29-22","4476"
"2017-04-29","23","2017-04-29-23","5121"
"2017-04-30","0","2017-04-30-0","3688"
"2017-04-30","1","2017-04-30-1","2885"
"2017-04-30","2","2017-04-30-2","2178"
"2017-04-30","3","2017-04-30-3","1433"
"2017-04-30","4","2017-04-30-4","1015"
"2017-04-30","5","2017-04-30-5","426"
"2017-04-30","6","2017-04-30-6","414"
"2017-04-30","7","2017-04-30-7","592"
"2017-04-30","8","2017-04-30-8","1074"
"2017-04-30","9","2017-04-30-9","1850"
"2017-04-30","10","2017-04-30-10","6353"
"2017-04-30","11","2017-04-30-11","11655"
"2017-04-30","12","2017-04-30-12","15004"
"2017-04-30","13","2017-04-30-13","17464"
"2017-04-30","14","2017-04-30-14","19341"
"2017-04-30","15","2017-04-30-15","17473"
"2017-04-30","16","2017-04-30-16","14130"
"2017-04-30","17","2017-04-30-17","7977"
"2017-04-30","18","2017-04-30-18","5283"
"2017-04-30","19","2017-04-30-19","5110"
"2017-04-30","20","2017-04-30-20","3209"
"2017-04-30","21","2017-04-30-21","2605"
"2017-04-30","22","2017-04-30-22","3243"
"2017-04-30","23","2017-04-30-23","2564"
"0","0","0","0"
