"V1","V2","V3","V4"
"2017-04-06","2","2017-04-06-2","508"
"2017-04-06","3","2017-04-06-3","477"
"2017-04-06","4","2017-04-06-4","386"
"2017-04-06","5","2017-04-06-5","591"
"2017-04-06","6","2017-04-06-6","917"
"2017-04-06","7","2017-04-06-7","2655"
"2017-04-06","8","2017-04-06-8","6231"
"2017-04-06","9","2017-04-06-9","5844"
"2017-04-06","10","2017-04-06-10","9305"
"2017-04-06","11","2017-04-06-11","14455"
"2017-04-06","12","2017-04-06-12","23311"
"2017-04-06","13","2017-04-06-13","24543"
"2017-04-06","14","2017-04-06-14","18433"
"2017-04-06","15","2017-04-06-15","16676"
"2017-04-06","16","2017-04-06-16","16541"
"2017-04-06","17","2017-04-06-17","15890"
"2017-04-06","18","2017-04-06-18","10975"
"2017-04-06","19","2017-04-06-19","6571"
"2017-04-06","20","2017-04-06-20","3751"
"2017-04-06","21","2017-04-06-21","2812"
"2017-04-06","22","2017-04-06-22","2174"
"2017-04-06","23","2017-04-06-23","1663"
"2017-04-07","0","2017-04-07-0","590"
"2017-04-07","1","2017-04-07-1","391"
"2017-04-07","2","2017-04-07-2","209"
"2017-04-07","3","2017-04-07-3","376"
"2017-04-07","4","2017-04-07-4","239"
"2017-04-07","5","2017-04-07-5","284"
"2017-04-07","6","2017-04-07-6","901"
"2017-04-07","7","2017-04-07-7","2244"
"2017-04-07","8","2017-04-07-8","5414"
"2017-04-07","9","2017-04-07-9","6291"
"2017-04-07","10","2017-04-07-10","9235"
"2017-04-07","11","2017-04-07-11","13745"
"2017-04-07","12","2017-04-07-12","22348"
"2017-04-07","13","2017-04-07-13","22938"
"2017-04-07","14","2017-04-07-14","19042"
"2017-04-07","15","2017-04-07-15","16918"
"2017-04-07","16","2017-04-07-16","14951"
"2017-04-07","17","2017-04-07-17","18627"
"2017-04-07","18","2017-04-07-18","10291"
"2017-04-07","19","2017-04-07-19","6381"
"2017-04-07","20","2017-04-07-20","3939"
"2017-04-07","21","2017-04-07-21","3484"
"2017-04-07","22","2017-04-07-22","3401"
"2017-04-07","23","2017-04-07-23","2435"
"2017-04-08","0","2017-04-08-0","1763"
"2017-04-08","1","2017-04-08-1","1642"
"2017-04-08","2","2017-04-08-2","1222"
"2017-04-08","3","2017-04-08-3","966"
"2017-04-08","4","2017-04-08-4","665"
"2017-04-08","5","2017-04-08-5","357"
"2017-04-08","6","2017-04-08-6","484"
"2017-04-08","7","2017-04-08-7","865"
"2017-04-08","8","2017-04-08-8","2472"
"2017-04-08","9","2017-04-08-9","5773"
"2017-04-08","10","2017-04-08-10","12332"
"2017-04-08","11","2017-04-08-11","19548"
"2017-04-08","12","2017-04-08-12","23654"
"2017-04-08","13","2017-04-08-13","25627"
"2017-04-08","14","2017-04-08-14","27066"
"2017-04-08","15","2017-04-08-15","25880"
"2017-04-08","16","2017-04-08-16","21015"
"2017-04-08","17","2017-04-08-17","17040"
"2017-04-08","18","2017-04-08-18","11449"
"2017-04-08","19","2017-04-08-19","7143"
"2017-04-08","20","2017-04-08-20","5287"
"2017-04-08","21","2017-04-08-21","4463"
"2017-04-08","22","2017-04-08-22","4395"
"2017-04-08","23","2017-04-08-23","3987"
"2017-04-09","0","2017-04-09-0","2719"
"2017-04-09","1","2017-04-09-1","2408"
"2017-04-09","2","2017-04-09-2","1933"
"2017-04-09","3","2017-04-09-3","1277"
"2017-04-09","4","2017-04-09-4","693"
"2017-04-09","5","2017-04-09-5","304"
"2017-04-09","6","2017-04-09-6","332"
"2017-04-09","7","2017-04-09-7","466"
"2017-04-09","8","2017-04-09-8","717"
"2017-04-09","9","2017-04-09-9","1530"
"2017-04-09","10","2017-04-09-10","4864"
"2017-04-09","11","2017-04-09-11","10898"
"2017-04-09","12","2017-04-09-12","13535"
"2017-04-09","13","2017-04-09-13","15469"
"2017-04-09","14","2017-04-09-14","16127"
"2017-04-09","15","2017-04-09-15","13890"
"2017-04-09","16","2017-04-09-16","11019"
"2017-04-09","17","2017-04-09-17","5734"
"2017-04-09","18","2017-04-09-18","3398"
"2017-04-09","19","2017-04-09-19","2692"
"2017-04-09","20","2017-04-09-20","1563"
"2017-04-09","21","2017-04-09-21","1319"
"2017-04-09","22","2017-04-09-22","1581"
"2017-04-09","23","2017-04-09-23","624"
"2017-04-10","0","2017-04-10-0","308"
"2017-04-10","1","2017-04-10-1","128"
"2017-04-10","2","2017-04-10-2","81"
"2017-04-10","3","2017-04-10-3","31"
"2017-04-10","4","2017-04-10-4","116"
"2017-04-10","5","2017-04-10-5","274"
"2017-04-10","6","2017-04-10-6","913"
"2017-04-10","7","2017-04-10-7","2675"
"2017-04-10","8","2017-04-10-8","5651"
"2017-04-10","9","2017-04-10-9","5963"
"2017-04-10","10","2017-04-10-10","10389"
"2017-04-10","11","2017-04-10-11","14814"
"2017-04-10","12","2017-04-10-12","25205"
"2017-04-10","13","2017-04-10-13","25109"
"2017-04-10","14","2017-04-10-14","19431"
"2017-04-10","15","2017-04-10-15","17522"
"2017-04-10","16","2017-04-10-16","16543"
"2017-04-10","17","2017-04-10-17","15108"
"2017-04-10","18","2017-04-10-18","8704"
"2017-04-10","19","2017-04-10-19","4557"
"2017-04-10","20","2017-04-10-20","2544"
"2017-04-10","21","2017-04-10-21","1663"
"2017-04-10","22","2017-04-10-22","1151"
"2017-04-10","23","2017-04-10-23","749"
"2017-04-11","0","2017-04-11-0","495"
"2017-04-11","1","2017-04-11-1","193"
"2017-04-11","2","2017-04-11-2","156"
"2017-04-11","3","2017-04-11-3","234"
"2017-04-11","4","2017-04-11-4","284"
"2017-04-11","5","2017-04-11-5","312"
"2017-04-11","6","2017-04-11-6","924"
"2017-04-11","7","2017-04-11-7","2642"
"2017-04-11","8","2017-04-11-8","6159"
"2017-04-11","9","2017-04-11-9","6881"
"2017-04-11","10","2017-04-11-10","9825"
"2017-04-11","11","2017-04-11-11","13542"
"2017-04-11","12","2017-04-11-12","20973"
"2017-04-11","13","2017-04-11-13","21438"
"2017-04-11","14","2017-04-11-14","15757"
"2017-04-11","15","2017-04-11-15","13836"
"2017-04-11","16","2017-04-11-16","13534"
"2017-04-11","17","2017-04-11-17","13006"
"2017-04-11","18","2017-04-11-18","8435"
"2017-04-11","19","2017-04-11-19","4076"
"2017-04-11","20","2017-04-11-20","2232"
"2017-04-11","21","2017-04-11-21","1552"
"2017-04-11","22","2017-04-11-22","1485"
"2017-04-11","23","2017-04-11-23","759"
"2017-04-12","0","2017-04-12-0","340"
"2017-04-12","1","2017-04-12-1","208"
"2017-04-12","2","2017-04-12-2","248"
"2017-04-12","3","2017-04-12-3","161"
"2017-04-12","4","2017-04-12-4","173"
"2017-04-12","5","2017-04-12-5","378"
"2017-04-12","6","2017-04-12-6","843"
"2017-04-12","7","2017-04-12-7","2371"
"2017-04-12","8","2017-04-12-8","5543"
"2017-04-12","9","2017-04-12-9","5588"
"2017-04-12","10","2017-04-12-10","7945"
"2017-04-12","11","2017-04-12-11","12233"
"2017-04-12","12","2017-04-12-12","21252"
"2017-04-12","13","2017-04-12-13","22767"
"2017-04-12","14","2017-04-12-14","18001"
"2017-04-12","15","2017-04-12-15","15959"
"2017-04-12","16","2017-04-12-16","14901"
"2017-04-12","17","2017-04-12-17","14868"
"2017-04-12","18","2017-04-12-18","8688"
"2017-04-12","19","2017-04-12-19","5226"
"2017-04-12","20","2017-04-12-20","3104"
"2017-04-12","21","2017-04-12-21","1908"
"2017-04-12","22","2017-04-12-22","1891"
"2017-04-12","23","2017-04-12-23","802"
"2017-04-13","0","2017-04-13-0","541"
"2017-04-13","1","2017-04-13-1","423"
"2017-04-13","2","2017-04-13-2","491"
"2017-04-13","3","2017-04-13-3","437"
"2017-04-13","4","2017-04-13-4","428"
"2017-04-13","5","2017-04-13-5","554"
"2017-04-13","6","2017-04-13-6","969"
"2017-04-13","7","2017-04-13-7","2614"
"2017-04-13","8","2017-04-13-8","5579"
"2017-04-13","9","2017-04-13-9","6361"
"2017-04-13","10","2017-04-13-10","10280"
"2017-04-13","11","2017-04-13-11","14736"
"2017-04-13","12","2017-04-13-12","26299"
"2017-04-13","13","2017-04-13-13","27714"
"2017-04-13","14","2017-04-13-14","22018"
"2017-04-13","15","2017-04-13-15","19679"
"2017-04-13","16","2017-04-13-16","18368"
"2017-04-13","17","2017-04-13-17","16789"
"2017-04-13","18","2017-04-13-18","11483"
"2017-04-13","19","2017-04-13-19","7008"
"2017-04-13","20","2017-04-13-20","4095"
"2017-04-13","21","2017-04-13-21","3237"
"2017-04-13","22","2017-04-13-22","3397"
"2017-04-13","23","2017-04-13-23","2281"
"2017-04-14","0","2017-04-14-0","1244"
"2017-04-14","1","2017-04-14-1","880"
"2017-04-14","2","2017-04-14-2","802"
"2017-04-14","3","2017-04-14-3","536"
"2017-04-14","4","2017-04-14-4","575"
"2017-04-14","5","2017-04-14-5","355"
"2017-04-14","6","2017-04-14-6","659"
"2017-04-14","7","2017-04-14-7","1078"
"2017-04-14","8","2017-04-14-8","2899"
"2017-04-14","9","2017-04-14-9","4759"
"2017-04-14","10","2017-04-14-10","8721"
"2017-04-14","11","2017-04-14-11","14023"
"2017-04-14","12","2017-04-14-12","19240"
"2017-04-14","13","2017-04-14-13","21095"
"2017-04-14","14","2017-04-14-14","21428"
"2017-04-14","15","2017-04-14-15","19829"
"2017-04-14","16","2017-04-14-16","17743"
"2017-04-14","17","2017-04-14-17","13289"
"2017-04-14","18","2017-04-14-18","8534"
"2017-04-14","19","2017-04-14-19","5916"
"2017-04-14","20","2017-04-14-20","3299"
"2017-04-14","21","2017-04-14-21","2798"
"2017-04-14","22","2017-04-14-22","2959"
"2017-04-14","23","2017-04-14-23","2678"
"2017-04-15","0","2017-04-15-0","1742"
"2017-04-15","1","2017-04-15-1","1305"
"2017-04-15","2","2017-04-15-2","1080"
"2017-04-15","3","2017-04-15-3","899"
"2017-04-15","4","2017-04-15-4","582"
"2017-04-15","5","2017-04-15-5","328"
"2017-04-15","6","2017-04-15-6","646"
"2017-04-15","7","2017-04-15-7","687"
"2017-04-15","8","2017-04-15-8","1949"
"2017-04-15","9","2017-04-15-9","5379"
"2017-04-15","10","2017-04-15-10","10580"
"2017-04-15","11","2017-04-15-11","16872"
"2017-04-15","12","2017-04-15-12","21117"
"2017-04-15","13","2017-04-15-13","23664"
"2017-04-15","14","2017-04-15-14","25070"
"2017-04-15","15","2017-04-15-15","24070"
"2017-04-15","16","2017-04-15-16","20115"
"2017-04-15","17","2017-04-15-17","15122"
"2017-04-15","18","2017-04-15-18","9383"
"2017-04-15","19","2017-04-15-19","5671"
