"Date","InCount","outlier"
"213","2010-02-14","5690",2
"214","2010-02-15","9045",2
"215","2010-02-16","11851",2
"216","2010-02-17","12579",2
"217","2010-02-18","13497",2
"218","2010-02-19","13649",2
"219","2010-02-20","14178",2
"220","2010-02-21","3445",2
"221","2010-02-22","9222",2
"222","2010-02-23","9118",2
"223","2010-02-24","8977",2
"224","2010-02-25","9911",2
"225","2010-02-26","11455",2
"226","2010-02-27","13325",2
"227","2010-02-28","3384",2
"228","2010-03-01","10036",2
"229","2010-03-02","10819",2
"230","2010-03-03","11146",2
"231","2010-03-04","13739",2
"232","2010-03-05","13575",2
"233","2010-03-06","13796",2
"234","2010-03-07","4122",2
"235","2010-03-08","10031",2
"236","2010-03-09","9430",2
"237","2010-03-10","11362",2
"238","2010-03-11","13203",2
"239","2010-03-12","11696",2
"240","2010-03-13","12989",2
"241","2010-03-14","4083",2
"242","2010-03-15","8622",2
"243","2010-03-16","10559",2
"244","2010-03-17","11940",2
"245","2010-03-18","11629",2
"246","2010-03-19","12582",2
"247","2010-03-20","11509",2
"248","2010-03-21","4471",2
"249","2010-03-22","8189",2
"250","2010-03-23","7980",2
"251","2010-03-24","11128",2
"252","2010-03-25","12454",2
"253","2010-03-26","13395",2
"254","2010-03-27","13221",2
"255","2010-03-28","4505",2
"256","2010-03-29","8693",2
"257","2010-03-30","8577",2
"258","2010-03-31","10800",2
"259","2010-04-01","15159",2
"260","2010-04-02","7524",2
"261","2010-04-03","11121",2
"262","2010-04-04","4706",2
"263","2010-04-05","5453",2
"264","2010-04-06","11204",2
"265","2010-04-07","12424",2
"266","2010-04-08","13362",2
"267","2010-04-09","12265",2
"268","2010-04-10","12700",2
"269","2010-04-11","3867",2
"270","2010-04-12","10272",2
"271","2010-04-13","10414",2
"272","2010-04-14","12325",2
"273","2010-04-15","13470",2
"274","2010-04-16","14114",2
"275","2010-04-17","12298",2
"276","2010-04-18","4098",2
"277","2010-04-19","9089",2
"278","2010-04-20","9996",2
"279","2010-04-21","11092",2
"280","2010-04-22","13706",2
"281","2010-04-23","14285",2
"282","2010-04-24","13588",2
"283","2010-04-25","4220",2
"284","2010-04-26","10242",2
"285","2010-04-27","11225",2
"286","2010-04-28","11231",2
"287","2010-04-29","14542",2
"288","2010-04-30","14074",2
"289","2010-05-01","14847",2
"290","2010-05-02","6005",2
"291","2010-05-03","5805",2
"292","2010-05-04","9981",2
