"Date","InCount","outlier"
"2010-03-19","210625",2
"2010-03-20","236835",2
"2010-03-21","149103",2
"2010-03-22","144172",2
"2010-03-23","176563",2
"2010-03-24","164854",2
"2010-03-25","185813",2
"2010-03-26","209645",2
"2010-03-27","314572",1
"2010-03-28","118502",2
"2010-03-29","147709",2
"2010-03-30","157227",2
"2010-03-31","164857",2
"2010-04-01","220529",2
"2010-04-02","188608",2
"2010-04-03","258343",2
"2010-04-04","46456",1
"2010-04-05","120238",2
"2010-04-06","208474",2
"2010-04-07","186705",2
"2010-04-08","219025",2
"2010-04-09","224945",2
"2010-04-10","259304",2
"2010-04-11","105969",2
"2010-04-12","196131",2
"2010-04-13","182637",2
"2010-04-14","193316",2
"2010-04-15","189570",2
"2010-04-16","228394",2
"2010-04-17","266771",2
"2010-04-18","97820",2
"2010-04-19","146008",2
"2010-04-20","189432",2
"2010-04-21","192055",2
"2010-04-22","199481",2
"2010-04-23","201262",2
"2010-04-24","314958",1
"2010-04-25","108346",2
"2010-04-26","166605",2
"2010-04-27","189341",2
"2010-04-28","180766",2
"2010-04-29","176062",2
"2010-04-30","230452",2
"2010-05-01","300024",1
"2010-05-02","119306",2
"2010-05-03","138670",2
"2010-05-04","177245",2
"2010-05-05","164970",2
"2010-05-06","157662",2
"2010-05-07","193480",2
"2010-05-08","278803",2
"2010-05-09","108500",2
"2010-05-10","141924",2
"2010-05-11","159822",2
"2010-05-12","156121",2
"2010-05-13","175791",2
"2010-05-14","179626",2
"2010-05-15","283428",2
"2010-05-16","116523",2
"2010-05-17","159550",2
"2010-05-18","163019",2
"2010-05-19","162711",2
"2010-05-20","182876",2
"2010-05-21","210456",2
"2010-05-22","264697",2
"2010-05-23","107446",2
"2010-05-24","167030",2
"2010-05-25","154591",2
"2010-05-26","160222",2
"2010-05-27","185616",2
"2010-05-28","227341",2
"2010-05-29","247863",2
"2010-05-30","136543",2
"2010-05-31","159276",2
"2010-06-01","193779",2
"2010-06-02","219853",2
"2010-06-03","228868",2
"2010-06-04","233938",2
"2010-06-05","252267",2
"2010-06-06","95099",2
"2010-06-07","161952",2
"2010-06-08","153846",2
"2010-06-09","145463",2
"2010-06-10","165429",2
"2010-06-11","181470",2
"2010-06-12","245613",2
"2010-06-13","97632",2
"2010-06-14","140801",2
"2010-06-15","168087",2
"2010-06-16","171368",2
"2010-06-17","181833",2
"2010-06-18","184374",2
"2010-06-19","250642",2
"2010-06-20","109827",2
"2010-06-21","162180",2
"2010-06-22","164183",2
"2010-06-23","160196",2
"2010-06-24","189303",2
"2010-06-25","198385",2
"2010-06-26","274895",2
"2010-06-27","100320",2
"2010-06-28","175064",2
"2010-06-29","162924",2
"2010-06-30","183907",2
"2010-07-01","178143",2
"2010-07-02","200352",2
"2010-07-03","271130",2
"2010-07-04","140879",2
"2010-07-05","167917",2
"2010-07-06","169605",2
"2010-07-07","156940",2
"2010-07-08","188475",2
"2010-07-09","197439",2
"2010-07-10","241230",2
"2010-07-11","121290",2
"2010-07-12","145606",2
"2010-07-13","162011",2
"2010-07-14","160933",2
"2010-07-15","170690",2
"2010-07-16","188800",2
"2010-07-17","266160",2
"2010-07-18","124751",2
"2010-07-19","182764",2
"2010-07-20","159904",2
"2010-07-21","171460",2
"2010-07-22","177102",2
"2010-07-23","209121",2
"2010-07-24","244612",2
"2010-07-25","117728",2
"2010-07-26","158763",2
"2010-07-27","178645",2
"2010-07-28","167036",2
"2010-07-29","200129",2
"2010-07-30","202872",2
"2010-07-31","237982",2
"2010-08-01","124528",2
"2010-08-02","169484",2
"2010-08-03","183677",2
"2010-08-04","169650",2
"2010-08-05","190028",2
"2010-08-06","187403",2
"2010-08-07","227865",2
"2010-08-08","106040",2
"2010-08-09","163690",2
"2010-08-10","183836",2
"2010-08-11","172431",2
"2010-08-12","181950",2
"2010-08-13","172246",2
"2010-08-14","230170",2
"2010-08-15","109279",2
"2010-08-16","195802",2
"2010-08-17","176863",2
"2010-08-18","183939",2
"2010-08-19","197366",2
"2010-08-20","186443",2
"2010-08-21","231169",2
"2010-08-22","113056",2
"2010-08-23","160304",2
"2010-08-24","170777",2
"2010-08-25","203353",2
"2010-08-26","192988",2
"2010-08-27","228396",2
"2010-08-28","244409",2
"2010-08-29","122234",2
"2010-08-30","135314",2
"2010-08-31","222648",2
"2010-09-01","210326",2
"2010-09-02","202425",2
"2010-09-03","195143",2
"2010-09-04","244593",2
"2010-09-05","114166",2
"2010-09-06","162333",2
"2010-09-07","176180",2
"2010-09-08","169256",2
"2010-09-09","174280",2
"2010-09-10","174012",2
"2010-09-11","239690",2
"2010-09-12","116425",2
"2010-09-13","157903",2
"2010-09-14","164299",2
"2010-09-15","143247",2
"2010-09-16","185864",2
"2010-09-17","190524",2
"2010-09-18","262363",2
"2010-09-19","111849",2
"2010-09-20","165427",2
"2010-09-21","194597",2
"2010-09-22","204899",2
"2010-09-23","192188",2
"2010-09-24","201793",2
"2010-09-25","320438",1
"2010-09-26","140027",2
"2010-09-27","173044",2
"2010-09-28","186471",2
"2010-09-29","172600",2
"2010-09-30","216441",2
"2010-10-01","186077",2
"2010-10-02","349918",1
"2010-10-03","96523",2
"2010-10-04","183987",2
"2010-10-05","195311",2
"2010-10-06","183502",2
"2010-10-07","195619",2
"2010-10-08","205732",2
"2010-10-09","298369",1
"2010-10-10","144441",2
"2010-10-11","169078",2
"2010-10-12","178675",2
"2010-10-13","192117",2
"2010-10-14","176089",2
"2010-10-15","199139",2
"2010-10-16","288940",2
"2010-10-17","131897",2
"2010-10-18","155371",2
"2010-10-19","168300",2
"2010-10-20","184287",2
"2010-10-21","179953",2
"2010-10-22","224907",2
"2010-10-23","277082",2
"2010-10-24","135954",2
"2010-10-25","234851",2
"2010-10-26","202161",2
"2010-10-27","244898",2
"2010-10-28","241097",2
"2010-10-29","295400",1
"2010-10-30","343654",1
"2010-10-31","129595",2
"2010-11-01","173414",2
"2010-11-02","156056",2
"2010-11-03","163567",2
"2010-11-04","151218",2
"2010-11-05","192154",2
"2010-11-06","312098",1
"2010-11-07","133964",2
"2010-11-08","132700",2
"2010-11-09","152400",2
"2010-11-10","191045",2
"2010-11-11","153709",2
"2010-11-12","160357",2
"2010-11-13","297489",1
"2010-11-14","131681",2
"2010-11-15","179374",2
"2010-11-16","169528",2
"2010-11-17","143947",2
"2010-11-18","191500",2
"2010-11-19","196725",2
"2010-11-20","324530",1
"2010-11-21","148818",2
"2010-11-22","160912",2
"2010-11-23","174204",2
"2010-11-24","181020",2
"2010-11-25","190029",2
"2010-11-26","240850",2
"2010-11-27","327758",1
"2010-11-28","159475",2
"2010-11-29","135379",2
"2010-11-30","146276",2
"2010-12-01","94956",2
"2010-12-02","137061",2
"2010-12-03","198323",2
"2010-12-04","354751",1
"2010-12-05","181409",2
"2010-12-06","210788",2
"2010-12-07","188718",2
"2010-12-08","214871",2
"2010-12-09","223067",2
"2010-12-10","222564",2
"2010-12-11","363906",1
"2010-12-12","185694",2
"2010-12-13","206821",2
"2010-12-14","205841",2
"2010-12-15","234598",2
"2010-12-16","225378",2
"2010-12-17","279297",2
"2010-12-18","293611",2
"2010-12-19","167739",2
"2010-12-20","277666",2
"2010-12-21","299106",1
"2010-12-22","274708",2
"2010-12-23","312109",1
"2010-12-24","226060",2
"2010-12-25","4572",1
"2010-12-26","144832",2
"2010-12-27","260481",2
"2010-12-28","237672",2
"2010-12-29","274487",2
"2010-12-30","254298",2
"2010-12-31","215244",2
"2011-01-01","47767",1
"2011-01-02","115685",2
"2011-01-03","160658",2
"2011-01-04","165334",2
"2011-01-05","135127",2
"2011-01-06","148253",2
"2011-01-07","113746",2
"2011-01-08","205041",2
"2011-01-09","87506",2
"2011-01-10","138393",2
"2011-01-11","148861",2
"2011-01-12","143509",2
"2011-01-13","157150",2
"2011-01-14","171088",2
"2011-01-15","213850",2
"2011-01-16","83462",2
"2011-01-17","148953",2
"2011-01-18","161793",2
"2011-01-19","174618",2
"2011-01-20","179544",2
"2011-01-21","172724",2
"2011-01-22","240530",2
"2011-01-23","102720",2
"2011-01-24","154442",2
"2011-01-25","142680",2
"2011-01-26","151608",2
"2011-01-27","162700",2
"2011-01-28","188919",2
"2011-01-29","292402",2
"2011-01-30","113969",2
"2011-01-31","148512",2
"2011-02-01","149170",2
"2011-02-02","147329",2
"2011-02-03","163382",2
"2011-02-04","139924",2
"2011-02-05","219302",2
"2011-02-06","98849",2
"2011-02-07","138705",2
"2011-02-08","168809",2
"2011-02-09","156386",2
"2011-02-10","183985",2
"2011-02-11","178874",2
"2011-02-12","278398",2
"2011-02-13","100533",2
"2011-02-14","169374",2
"2011-02-15","145769",2
"2011-02-16","162119",2
"2011-02-17","153402",2
"2011-02-18","178137",2
"2011-02-19","171844",2
"2011-02-20","101079",2
"2011-02-21","154039",2
"2011-02-22","182551",2
"2011-02-23","185023",2
"2011-02-24","213065",2
"2011-02-25","229628",2
"2011-02-26","227558",2
"2011-02-27","99676",2
"2011-02-28","155137",2
"2011-03-01","166433",2
"2011-03-02","150672",2
"2011-03-03","157176",2
"2011-03-04","180636",2
"2011-03-05","253342",2
"2011-03-06","109368",2
"2011-03-07","147708",2
"2011-03-08","155950",2
"2011-03-09","139995",2
"2011-03-10","145577",2
"2011-03-11","173846",2
"2011-03-12","256497",2
"2011-03-13","100754",2
"2011-03-14","159489",2
"2011-03-15","143132",2
"2011-03-16","152635",2
"2011-03-17","173354",2
"2011-03-18","187459",2
"2011-03-19","258149",2
"2011-03-20","99553",2
"2011-03-21","155395",2
"2011-03-22","174732",2
"2011-03-23","179997",2
"2011-03-24","173469",2
"2011-03-25","208287",2
"2011-03-26","277833",2
"2011-03-27","118548",2
"2011-03-28","164602",2
"2011-03-29","153518",2
"2011-03-30","154375",2
"2011-03-31","172636",2
"2011-04-01","220828",2
"2011-04-02","288469",2
"2011-04-03","103984",2
"2011-04-04","142246",2
"2011-04-05","154081",2
"2011-04-06","182990",2
"2011-04-07","182131",2
"2011-04-08","200105",2
"2011-04-09","235086",2
"2011-04-10","107842",2
"2011-04-11","145436",2
"2011-04-12","181972",2
"2011-04-13","157895",2
"2011-04-14","165258",2
"2011-04-15","187705",2
"2011-04-16","230076",2
"2011-04-17","110292",2
"2011-04-18","176826",2
"2011-04-19","191039",2
"2011-04-20","194927",2
"2011-04-21","225354",2
"2011-04-22","189262",2
"2011-04-23","211793",2
"2011-04-24","45638",1
"2011-04-25","121995",2
"2011-04-26","142120",2
"2011-04-27","188199",2
"2011-04-28","224526",2
"2011-04-29","114673",2
"2011-04-30","263065",2
"2011-05-01","112170",2
"2011-05-02","126067",2
"2011-05-03","157548",2
"2011-05-04","169530",2
"2011-05-05","161018",2
"2011-05-06","173689",2
"2011-05-07","207647",2
"2011-05-08","106056",2
"2011-05-09","148773",2
"2011-05-10","144998",2
"2011-05-11","155409",2
"2011-05-12","165598",2
"2011-05-13","157456",2
"2011-05-14","229222",2
"2011-05-15","87800",2
"2011-05-16","134059",2
"2011-05-17","145210",2
"2011-05-18","149862",2
"2011-05-19","165434",2
"2011-05-20","168836",2
"2011-05-21","249477",2
"2011-05-22","96889",2
"2011-05-23","125692",2
"2011-05-24","160545",2
"2011-05-25","155753",2
"2011-05-26","164988",2
"2011-05-27","205723",2
"2011-05-28","250313",2
"2011-05-29","108687",2
"2011-05-30","112696",2
"2011-05-31","208787",2
"2011-06-01","205799",2
"2011-06-02","201094",2
"2011-06-03","202018",2
"2011-06-04","214301",2
"2011-06-05","101291",2
"2011-06-06","160910",2
"2011-06-07","149367",2
"2011-06-08","150741",2
"2011-06-09","172714",2
"2011-06-10","153288",2
"2011-06-11","232397",2
"2011-06-12","76396",2
"2011-06-13","143220",2
"2011-06-14","164113",2
"2011-06-15","152495",2
"2011-06-16","165047",2
"2011-06-17","175602",2
"2011-06-18","250161",2
"2011-06-19","115385",2
"2011-06-20","155420",2
"2011-06-21","150730",2
"2011-06-22","153109",2
"2011-06-23","145607",2
"2011-06-24","197193",2
"2011-06-25","248061",2
"2011-06-26","104842",2
"2011-06-27","153509",2
"2011-06-28","158442",2
"2011-06-29","147368",2
"2011-06-30","212656",2
"2011-07-01","182863",2
"2011-07-02","234028",2
"2011-07-03","112394",2
"2011-07-04","159895",2
"2011-07-05","157605",2
