"Date","InCount","outlier"
"213","2010-02-14","7952",2
"214","2010-02-15","4546",2
"215","2010-02-16","6335",2
"216","2010-02-17","6062",2
"217","2010-02-18","5781",2
"218","2010-02-19","10630",2
"219","2010-02-20","11949",2
"220","2010-02-21","8807",2
"221","2010-02-22","3952",2
"222","2010-02-23","4565",2
"223","2010-02-24","4992",2
"224","2010-02-25","4820",2
"225","2010-02-26","8908",2
"226","2010-02-27","13294",2
"227","2010-02-28","9743",2
"228","2010-03-01","4089",2
"229","2010-03-02","6687",2
"230","2010-03-03","5428",2
"231","2010-03-04","6551",2
"232","2010-03-05","10538",2
"233","2010-03-06","12192",2
"234","2010-03-07","8340",2
"235","2010-03-08","4104",2
"236","2010-03-09","4952",2
"237","2010-03-10","5941",2
"238","2010-03-11","6215",2
"239","2010-03-12","8814",2
"240","2010-03-13","11512",2
"241","2010-03-14","7131",2
"242","2010-03-15","3537",2
"243","2010-03-16","5502",2
"244","2010-03-17","6917",2
"245","2010-03-18","7298",2
"246","2010-03-19","8279",2
"247","2010-03-20","10605",2
"248","2010-03-21","8147",2
"249","2010-03-22","4040",2
"250","2010-03-23","4858",2
"251","2010-03-24","6053",2
"252","2010-03-25","4967",2
"253","2010-03-26","10847",2
"254","2010-03-27","14329",2
"255","2010-03-28","9567",2
"256","2010-03-29","4110",2
"257","2010-03-30","5273",2
"258","2010-03-31","4555",2
"259","2010-04-01","9847",2
"260","2010-04-02","13363",2
"261","2010-04-03","10002",2
"262","2010-04-04","10717",2
"263","2010-04-05","7796",2
"264","2010-04-06","5831",2
"265","2010-04-07","5774",2
"266","2010-04-08","6246",2
"267","2010-04-09","10225",2
"268","2010-04-10","11449",2
"269","2010-04-11","7668",2
"270","2010-04-12","4276",2
"271","2010-04-13","4509",2
"272","2010-04-14","5502",2
"273","2010-04-15","6225",2
"274","2010-04-16","10795",2
"275","2010-04-17","11835",2
"276","2010-04-18","8278",2
"277","2010-04-19","4435",2
"278","2010-04-20","5200",2
"279","2010-04-21","5316",2
"280","2010-04-22","5568",2
"281","2010-04-23","9958",2
"282","2010-04-24","12868",2
"283","2010-04-25","9376",2
"284","2010-04-26","4841",2
"285","2010-04-27","5953",2
"286","2010-04-28","6018",2
"287","2010-04-29","5978",2
"288","2010-04-30","10988",2
"289","2010-05-01","13514",2
"290","2010-05-02","11292",2
"291","2010-05-03","8307",2
"292","2010-05-04","5165",2
"293","2010-05-05","6433",2
"294","2010-05-06","5213",2
"295","2010-05-07","8625",2
"296","2010-05-08","12346",2
"297","2010-05-09","7795",2
"298","2010-05-10","3841",2
"299","2010-05-11","4384",2
"300","2010-05-12","4871",2
"301","2010-05-13","5446",2
"302","2010-05-14","9361",2
"303","2010-05-15","12246",2
"304","2010-05-16","9106",2
"305","2010-05-17","4075",2
"306","2010-05-18","4734",2
"307","2010-05-19","6192",2
"308","2010-05-20","6106",2
"309","2010-05-21","10736",2
"310","2010-05-22","12179",2
"311","2010-05-23","8825",2
"312","2010-05-24","3732",2
"313","2010-05-25","4658",2
"314","2010-05-26","5703",2
"315","2010-05-27","6323",2
"316","2010-05-28","10756",2
"317","2010-05-29","10612",2
"318","2010-05-30","10748",2
"319","2010-05-31","8196",2
"320","2010-06-01","4423",2
"321","2010-06-02","6113",2
"322","2010-06-03","7605",2
"323","2010-06-04","10253",2
"324","2010-06-05","11166",2
