"Date","InCount","outlier"
"213","2010-02-14","119857",2
"214","2010-02-15","193620",2
"215","2010-02-16","213553",2
"216","2010-02-17","207682",2
"217","2010-02-18","201833",2
"218","2010-02-19","229534",2
"219","2010-02-20","281005",2
"220","2010-02-21","66021",2
"221","2010-02-22","153616",2
"222","2010-02-23","156904",2
"223","2010-02-24","150065",2
"224","2010-02-25","162358",2
"225","2010-02-26","174885",2
"226","2010-02-27","292237",2
"227","2010-02-28","110529",2
"228","2010-03-01","170890",2
"229","2010-03-02","186850",2
"230","2010-03-03","175768",2
"231","2010-03-04","189856",2
"232","2010-03-05","201437",2
"233","2010-03-06","279403",2
"234","2010-03-07","124887",2
"235","2010-03-08","169207",2
"236","2010-03-09","169653",2
"237","2010-03-10","181330",2
"238","2010-03-11","193678",2
"239","2010-03-12","185794",2
"240","2010-03-13","330914",1
"241","2010-03-14","99892",2
"242","2010-03-15","152125",2
"243","2010-03-16","171996",2
"244","2010-03-17","175993",2
"245","2010-03-18","178410",2
"246","2010-03-19","210625",2
"247","2010-03-20","236835",2
"248","2010-03-21","149103",2
"249","2010-03-22","144172",2
"250","2010-03-23","176563",2
"251","2010-03-24","164854",2
"252","2010-03-25","185813",2
"253","2010-03-26","209645",2
"254","2010-03-27","314572",1
"255","2010-03-28","118502",2
"256","2010-03-29","147709",2
"257","2010-03-30","157227",2
"258","2010-03-31","164857",2
"259","2010-04-01","220529",2
"260","2010-04-02","188608",2
"261","2010-04-03","258343",2
"262","2010-04-04","46456",1
"263","2010-04-05","120238",2
"264","2010-04-06","208474",2
"265","2010-04-07","186705",2
"266","2010-04-08","219025",2
"267","2010-04-09","224945",2
"268","2010-04-10","259304",2
"269","2010-04-11","105969",2
"270","2010-04-12","196131",2
"271","2010-04-13","182637",2
"272","2010-04-14","193316",2
"273","2010-04-15","189570",2
"274","2010-04-16","228394",2
"275","2010-04-17","266771",2
"276","2010-04-18","97820",2
"277","2010-04-19","146008",2
"278","2010-04-20","189432",2
"279","2010-04-21","192055",2
"280","2010-04-22","199481",2
"281","2010-04-23","201262",2
"282","2010-04-24","314958",1
"283","2010-04-25","108346",2
"284","2010-04-26","166605",2
"285","2010-04-27","189341",2
"286","2010-04-28","180766",2
"287","2010-04-29","176062",2
"288","2010-04-30","230452",2
"289","2010-05-01","300024",1
"290","2010-05-02","119306",2
"291","2010-05-03","138670",2
"292","2010-05-04","177245",2
"293","2010-05-05","164970",2
"294","2010-05-06","157662",2
"295","2010-05-07","193480",2
"296","2010-05-08","278803",2
"297","2010-05-09","108500",2
"298","2010-05-10","141924",2
"299","2010-05-11","159822",2
"300","2010-05-12","156121",2
"301","2010-05-13","175791",2
"302","2010-05-14","179626",2
"303","2010-05-15","283428",2
"304","2010-05-16","116523",2
"305","2010-05-17","159550",2
"306","2010-05-18","163019",2
"307","2010-05-19","162711",2
"308","2010-05-20","182876",2
"309","2010-05-21","210456",2
"310","2010-05-22","264697",2
"311","2010-05-23","107446",2
"312","2010-05-24","167030",2
"313","2010-05-25","154591",2
"314","2010-05-26","160222",2
"315","2010-05-27","185616",2
"316","2010-05-28","227341",2
"317","2010-05-29","247863",2
"318","2010-05-30","136543",2
"319","2010-05-31","159276",2
"320","2010-06-01","193779",2
"321","2010-06-02","219853",2
"322","2010-06-03","228868",2
"323","2010-06-04","233938",2
"324","2010-06-05","252267",2
"325","2010-06-06","95099",2
"326","2010-06-07","161952",2
"327","2010-06-08","153846",2
"328","2010-06-09","145463",2
"329","2010-06-10","165429",2
"330","2010-06-11","181470",2
"331","2010-06-12","245613",2
"332","2010-06-13","97632",2
"333","2010-06-14","140801",2
"334","2010-06-15","168087",2
"335","2010-06-16","171368",2
"336","2010-06-17","181833",2
"337","2010-06-18","184374",2
"338","2010-06-19","250642",2
"339","2010-06-20","109827",2
"340","2010-06-21","162180",2
"341","2010-06-22","164183",2
"342","2010-06-23","160196",2
"343","2010-06-24","189303",2
"344","2010-06-25","198385",2
"345","2010-06-26","274895",2
"346","2010-06-27","100320",2
"347","2010-06-28","175064",2
"348","2010-06-29","162924",2
"349","2010-06-30","183907",2
"350","2010-07-01","178143",2
"351","2010-07-02","200352",2
"352","2010-07-03","271130",2
"353","2010-07-04","140879",2
"354","2010-07-05","167917",2
"355","2010-07-06","169605",2
"356","2010-07-07","156940",2
"357","2010-07-08","188475",2
"358","2010-07-09","197439",2
"359","2010-07-10","241230",2
"360","2010-07-11","121290",2
"361","2010-07-12","145606",2
"362","2010-07-13","162011",2
"363","2010-07-14","160933",2
"364","2010-07-15","170690",2
"365","2010-07-16","188800",2
"366","2010-07-17","266160",2
"367","2010-07-18","124751",2
"368","2010-07-19","182764",2
"369","2010-07-20","159904",2
"370","2010-07-21","171460",2
"371","2010-07-22","177102",2
"372","2010-07-23","209121",2
"373","2010-07-24","244612",2
"374","2010-07-25","117728",2
"375","2010-07-26","158763",2
"376","2010-07-27","178645",2
"377","2010-07-28","167036",2
"378","2010-07-29","200129",2
"379","2010-07-30","202872",2
"380","2010-07-31","237982",2
"381","2010-08-01","124528",2
"382","2010-08-02","169484",2
"383","2010-08-03","183677",2
"384","2010-08-04","169650",2
"385","2010-08-05","190028",2
"386","2010-08-06","187403",2
"387","2010-08-07","227865",2
"388","2010-08-08","106040",2
"389","2010-08-09","163690",2
"390","2010-08-10","183836",2
"391","2010-08-11","172431",2
"392","2010-08-12","181950",2
"393","2010-08-13","172246",2
"394","2010-08-14","230170",2
"395","2010-08-15","109279",2
"396","2010-08-16","195802",2
"397","2010-08-17","176863",2
"398","2010-08-18","183939",2
"399","2010-08-19","197366",2
"400","2010-08-20","186443",2
"401","2010-08-21","231169",2
"402","2010-08-22","113056",2
"403","2010-08-23","160304",2
"404","2010-08-24","170777",2
"405","2010-08-25","203353",2
"406","2010-08-26","192988",2
"407","2010-08-27","228396",2
"408","2010-08-28","244409",2
"409","2010-08-29","122234",2
"410","2010-08-30","135314",2
"411","2010-08-31","222648",2
"412","2010-09-01","210326",2
"413","2010-09-02","202425",2
"414","2010-09-03","195143",2
"415","2010-09-04","244593",2
"416","2010-09-05","114166",2
"417","2010-09-06","162333",2
"418","2010-09-07","176180",2
"419","2010-09-08","169256",2
"420","2010-09-09","174280",2
"421","2010-09-10","174012",2
"422","2010-09-11","239690",2
"423","2010-09-12","116425",2
"424","2010-09-13","157903",2
"425","2010-09-14","164299",2
"426","2010-09-15","143247",2
"427","2010-09-16","185864",2
"428","2010-09-17","190524",2
"429","2010-09-18","262363",2
"430","2010-09-19","111849",2
"431","2010-09-20","165427",2
"432","2010-09-21","194597",2
"433","2010-09-22","204899",2
"434","2010-09-23","192188",2
"435","2010-09-24","201793",2
"436","2010-09-25","320438",1
"437","2010-09-26","140027",2
"438","2010-09-27","173044",2
"439","2010-09-28","186471",2
"440","2010-09-29","172600",2
"441","2010-09-30","216441",2
"442","2010-10-01","186077",2
