Site,LocationName,BRCYear,BRCMonthName,BRCWeekNum,DayName,Date,Hour,InCount,OutCount,ReportCount,FactoredInCount,FactoredOutCount,FactoredReportCount,Date33,Date444
Leeds,Albion Street North,2018,February,6,Wednesday,07/02/2018,,28182,0,28182,28182,0,28182,43138,43138
Leeds,Albion Street South,2018,February,6,Wednesday,07/02/2018,,18649,0,18649,18649,0,18649,43138,43138
Leeds,Briggate,2018,February,6,Wednesday,07/02/2018,,30557,0,30557,30557,0,30557,43138,43138
Leeds,"Briggate at McDonalds	",2018,February,6,Wednesday,07/02/2018,,10472,11551,10472,10472,11551,10472,43138,43138
Leeds,Commercial Street at Barratts,2018,February,6,Wednesday,07/02/2018,,21320,0,21320,21320,0,21320,43138,43138
Leeds,Commercial Street at Sharps,2018,February,6,Wednesday,07/02/2018,,23628,0,23628,23628,0,23628,43138,43138
Leeds,"Dortmund Square	",2018,February,6,Wednesday,07/02/2018,,20322,0,20322,20322,0,20322,43138,43138
Leeds,Headrow,2018,February,6,Wednesday,07/02/2018,,16023,0,16023,16023,0,16023,43138,43138
Leeds,Albion Street North,2018,February,6,Thursday,08/02/2018,,24193,0,24193,24193,0,24193,43139,43139
Leeds,Albion Street South,2018,February,6,Thursday,08/02/2018,,18455,0,18455,18455,0,18455,43139,43139
Leeds,Briggate,2018,February,6,Thursday,08/02/2018,,30862,0,30862,30862,0,30862,43139,43139
Leeds,"Briggate at McDonalds	",2018,February,6,Thursday,08/02/2018,,10861,11153,10861,10861,11153,10861,43139,43139
Leeds,Commercial Street at Barratts,2018,February,6,Thursday,08/02/2018,,20764,0,20764,20764,0,20764,43139,43139
Leeds,Commercial Street at Sharps,2018,February,6,Thursday,08/02/2018,,23984,0,23984,23984,0,23984,43139,43139
Leeds,"Dortmund Square	",2018,February,6,Thursday,08/02/2018,,19769,0,19769,19769,0,19769,43139,43139
Leeds,Headrow,2018,February,6,Thursday,08/02/2018,,12725,0,12725,12725,0,12725,43139,43139
Leeds,Albion Street North,2018,February,6,Friday,09/02/2018,,29170,0,29170,29170,0,29170,43140,43140
Leeds,Albion Street South,2018,February,6,Friday,09/02/2018,,20325,0,20325,20325,0,20325,43140,43140
Leeds,Briggate,2018,February,6,Friday,09/02/2018,,35184,0,35184,35184,0,35184,43140,43140
Leeds,"Briggate at McDonalds	",2018,February,6,Friday,09/02/2018,,11745,12324,11745,11745,12324,11745,43140,43140
Leeds,Commercial Street at Barratts,2018,February,6,Friday,09/02/2018,,20927,0,20927,20927,0,20927,43140,43140
Leeds,Commercial Street at Sharps,2018,February,6,Friday,09/02/2018,,25090,0,25090,25090,0,25090,43140,43140
Leeds,"Dortmund Square	",2018,February,6,Friday,09/02/2018,,20893,0,20893,20893,0,20893,43140,43140
Leeds,Headrow,2018,February,6,Friday,09/02/2018,,17988,0,17988,17988,0,17988,43140,43140
Leeds,Albion Street North,2018,February,6,Saturday,10/02/2018,,27868,0,27868,27868,0,27868,43141,43141
Leeds,Albion Street South,2018,February,6,Saturday,10/02/2018,,20184,0,20184,20184,0,20184,43141,43141
Leeds,Briggate,2018,February,6,Saturday,10/02/2018,,47840,0,47840,47840,0,47840,43141,43141
Leeds,"Briggate at McDonalds	",2018,February,6,Saturday,10/02/2018,,14371,14517,14371,14371,14517,14371,43141,43141
Leeds,Commercial Street at Barratts,2018,February,6,Saturday,10/02/2018,,28434,0,28434,28434,0,28434,43141,43141
Leeds,Commercial Street at Sharps,2018,February,6,Saturday,10/02/2018,,29758,0,29758,29758,0,29758,43141,43141
Leeds,"Dortmund Square	",2018,February,6,Saturday,10/02/2018,,19281,0,19281,19281,0,19281,43141,43141
Leeds,Headrow,2018,February,6,Saturday,10/02/2018,,19028,0,19028,19028,0,19028,43141,43141
Leeds,Albion Street North,2018,February,6,Sunday,11/02/2018,,18045,0,18045,18045,0,18045,43142,43142
Leeds,Albion Street South,2018,February,6,Sunday,11/02/2018,,12067,0,12067,12067,0,12067,43142,43142
Leeds,Briggate,2018,February,6,Sunday,11/02/2018,,26005,0,26005,26005,0,26005,43142,43142
Leeds,"Briggate at McDonalds	",2018,February,6,Sunday,11/02/2018,,7507,8107,7507,7507,8107,7507,43142,43142
Leeds,Commercial Street at Barratts,2018,February,6,Sunday,11/02/2018,,10316,0,10316,10316,0,10316,43142,43142
Leeds,Commercial Street at Sharps,2018,February,6,Sunday,11/02/2018,,15213,0,15213,15213,0,15213,43142,43142
Leeds,"Dortmund Square	",2018,February,6,Sunday,11/02/2018,,10626,0,10626,10626,0,10626,43142,43142
Leeds,Headrow,2018,February,6,Sunday,11/02/2018,,9807,0,9807,9807,0,9807,43142,43142
Leeds,Albion Street North,2018,February,7,Monday,12/02/2018,,27505,0,27505,27505,0,27505,43143,43143
Leeds,Albion Street South,2018,February,7,Monday,12/02/2018,,20855,0,20855,20855,0,20855,43143,43143
Leeds,Briggate,2018,February,7,Monday,12/02/2018,,33871,0,33871,33871,0,33871,43143,43143
Leeds,"Briggate at McDonalds	",2018,February,7,Monday,12/02/2018,,10569,11048,10569,10569,11048,10569,43143,43143
Leeds,Commercial Street at Barratts,2018,February,7,Monday,12/02/2018,,25844,0,25844,25844,0,25844,43143,43143
Leeds,Commercial Street at Sharps,2018,February,7,Monday,12/02/2018,,25346,0,25346,25346,0,25346,43143,43143
Leeds,"Dortmund Square	",2018,February,7,Monday,12/02/2018,,20544,0,20544,20544,0,20544,43143,43143
Leeds,Headrow,2018,February,7,Monday,12/02/2018,,17315,0,17315,17315,0,17315,43143,43143
Leeds,Albion Street North,2018,February,7,Tuesday,13/02/2018,,27534,0,27534,27534,0,27534,43144,43144
Leeds,Albion Street South,2018,February,7,Tuesday,13/02/2018,,21595,0,21595,21595,0,21595,43144,43144
Leeds,Briggate,2018,February,7,Tuesday,13/02/2018,,34260,0,34260,34260,0,34260,43144,43144
Leeds,"Briggate at McDonalds	",2018,February,7,Tuesday,13/02/2018,,10954,0,10954,10954,0,10954,43144,43144
Leeds,Commercial Street at Barratts,2018,February,7,Tuesday,13/02/2018,,17944,0,17944,17944,0,17944,43144,43144
Leeds,Commercial Street at Sharps,2018,February,7,Tuesday,13/02/2018,,28442,0,28442,28442,0,28442,43144,43144
Leeds,"Dortmund Square	",2018,February,7,Tuesday,13/02/2018,,20864,0,20864,20864,0,20864,43144,43144
Leeds,Headrow,2018,February,7,Tuesday,13/02/2018,,18306,0,18306,18306,0,18306,43144,43144
Leeds,Albion Street North,2018,February,7,Wednesday,14/02/2018,,30091,0,30091,30091,0,30091,43145,43145
Leeds,Albion Street South,2018,February,7,Wednesday,14/02/2018,,18574,0,18574,18574,0,18574,43145,43145
Leeds,Briggate,2018,February,7,Wednesday,14/02/2018,,34170,0,34170,34170,0,34170,43145,43145
Leeds,"Briggate at McDonalds	",2018,February,7,Wednesday,14/02/2018,,10404,11128,10404,10404,11128,10404,43145,43145
Leeds,Commercial Street at Barratts,2018,February,7,Wednesday,14/02/2018,,22844,0,22844,22844,0,22844,43145,43145
Leeds,Commercial Street at Sharps,2018,February,7,Wednesday,14/02/2018,,24141,0,24141,24141,0,24141,43145,43145
Leeds,"Dortmund Square	",2018,February,7,Wednesday,14/02/2018,,19871,0,19871,19871,0,19871,43145,43145
Leeds,Headrow,2018,February,7,Wednesday,14/02/2018,,18153,0,18153,18153,0,18153,43145,43145
Leeds,Albion Street North,2018,February,7,Thursday,15/02/2018,,34553,0,34553,34553,0,34553,43146,43146
Leeds,Albion Street South,2018,February,7,Thursday,15/02/2018,,23086,0,23086,23086,0,23086,43146,43146
Leeds,Briggate,2018,February,7,Thursday,15/02/2018,,37955,0,37955,37955,0,37955,43146,43146
Leeds,"Briggate at McDonalds	",2018,February,7,Thursday,15/02/2018,,14519,0,14519,14519,0,14519,43146,43146
Leeds,Commercial Street at Barratts,2018,February,7,Thursday,15/02/2018,,25179,0,25179,25179,0,25179,43146,43146
Leeds,Commercial Street at Sharps,2018,February,7,Thursday,15/02/2018,,25858,0,25858,25858,0,25858,43146,43146
Leeds,"Dortmund Square	",2018,February,7,Thursday,15/02/2018,,21683,0,21683,21683,0,21683,43146,43146
Leeds,Headrow,2018,February,7,Thursday,15/02/2018,,18996,0,18996,18996,0,18996,43146,43146
Leeds,Albion Street North,2018,February,7,Friday,16/02/2018,,36518,0,36518,36518,0,36518,43147,43147
Leeds,Albion Street South,2018,February,7,Friday,16/02/2018,,23529,0,23529,23529,0,23529,43147,43147
Leeds,Briggate,2018,February,7,Friday,16/02/2018,,39864,0,39864,39864,0,39864,43147,43147
Leeds,"Briggate at McDonalds	",2018,February,7,Friday,16/02/2018,,16881,0,16881,16881,0,16881,43147,43147
Leeds,Commercial Street at Barratts,2018,February,7,Friday,16/02/2018,,18450,0,18450,18450,0,18450,43147,43147
Leeds,Commercial Street at Sharps,2018,February,7,Friday,16/02/2018,,28748,0,28748,28748,0,28748,43147,43147
Leeds,"Dortmund Square	",2018,February,7,Friday,16/02/2018,,21703,0,21703,21703,0,21703,43147,43147
Leeds,Headrow,2018,February,7,Friday,16/02/2018,,20967,0,20967,20967,0,20967,43147,43147
Leeds,Albion Street North,2018,February,7,Saturday,17/02/2018,,33994,0,33994,33994,0,33994,43148,43148
Leeds,Albion Street South,2018,February,7,Saturday,17/02/2018,,22367,0,22367,22367,0,22367,43148,43148
Leeds,Briggate,2018,February,7,Saturday,17/02/2018,,45667,0,45667,45667,0,45667,43148,43148
Leeds,"Briggate at McDonalds	",2018,February,7,Saturday,17/02/2018,,18191,18263,18191,18191,18263,18191,43148,43148
Leeds,Commercial Street at Barratts,2018,February,7,Saturday,17/02/2018,,23423,0,23423,23423,0,23423,43148,43148
Leeds,Commercial Street at Sharps,2018,February,7,Saturday,17/02/2018,,30991,0,30991,30991,0,30991,43148,43148
Leeds,"Dortmund Square	",2018,February,7,Saturday,17/02/2018,,21207,0,21207,21207,0,21207,43148,43148
Leeds,Headrow,2018,February,7,Saturday,17/02/2018,,20966,0,20966,20966,0,20966,43148,43148
Leeds,Albion Street North,2018,February,7,Sunday,18/02/2018,,18577,0,18577,18577,0,18577,43149,43149
Leeds,Albion Street South,2018,February,7,Sunday,18/02/2018,,12179,0,12179,12179,0,12179,43149,43149
Leeds,Briggate,2018,February,7,Sunday,18/02/2018,,27415,0,27415,27415,0,27415,43149,43149
