"Date","InCount","outlier"
"213","2010-02-14","105659",2
"214","2010-02-15","177013",2
"215","2010-02-16","192522",2
"216","2010-02-17","186070",2
"217","2010-02-18","179787",2
"218","2010-02-19","202358",2
"219","2010-02-20","253659",1
"220","2010-02-21","53195",2
"221","2010-02-22","137678",2
"222","2010-02-23","140423",2
"223","2010-02-24","133437",2
"224","2010-02-25","144555",2
"225","2010-02-26","151734",2
"226","2010-02-27","264498",1
"227","2010-02-28","96865",2
"228","2010-03-01","153423",2
"229","2010-03-02","166651",2
"230","2010-03-03","155838",2
"231","2010-03-04","166395",2
"232","2010-03-05","174493",2
"233","2010-03-06","251981",2
"234","2010-03-07","111825",2
"235","2010-03-08","152128",2
"236","2010-03-09","152335",2
"237","2010-03-10","160857",2
"238","2010-03-11","171342",2
"239","2010-03-12","162382",2
"240","2010-03-13","305162",1
"241","2010-03-14","88136",2
"242","2010-03-15","136907",2
"243","2010-03-16","153207",2
"244","2010-03-17","154129",2
"245","2010-03-18","156598",2
"246","2010-03-19","186751",2
"247","2010-03-20","213394",2
"248","2010-03-21","135484",2
"249","2010-03-22","128952",2
"250","2010-03-23","160740",2
"251","2010-03-24","144969",2
"252","2010-03-25","165348",2
"253","2010-03-26","182439",2
"254","2010-03-27","285191",1
"255","2010-03-28","103673",2
"256","2010-03-29","131919",2
"257","2010-03-30","140228",2
"258","2010-03-31","146682",2
"259","2010-04-01","192684",2
"260","2010-04-02","166331",2
"261","2010-04-03","236088",2
"262","2010-04-04","30714",1
"263","2010-04-05","105916",2
"264","2010-04-06","188762",2
"265","2010-04-07","165502",2
"266","2010-04-08","196574",2
"267","2010-04-09","199724",2
"268","2010-04-10","233793",2
"269","2010-04-11","93946",2
"270","2010-04-12","178978",2
"271","2010-04-13","164723",2
"272","2010-04-14","172384",2
"273","2010-04-15","166737",2
"274","2010-04-16","200438",2
"275","2010-04-17","241077",2
"276","2010-04-18","84832",2
"277","2010-04-19","129607",2
"278","2010-04-20","170893",2
"279","2010-04-21","172409",2
"280","2010-04-22","177026",2
"281","2010-04-23","174109",2
"282","2010-04-24","287143",1
"283","2010-04-25","94166",2
"284","2010-04-26","148539",2
"285","2010-04-27","168892",2
"286","2010-04-28","160505",2
"287","2010-04-29","152235",2
"288","2010-04-30","202579",2
"289","2010-05-01","270176",1
"290","2010-05-02","101475",2
"291","2010-05-03","123378",2
"292","2010-05-04","158928",2
"293","2010-05-05","143871",2
"294","2010-05-06","136879",2
"295","2010-05-07","169839",2
"296","2010-05-08","249239",2
"297","2010-05-09","95571",2
"298","2010-05-10","126485",2
"299","2010-05-11","142818",2
"300","2010-05-12","137196",2
"301","2010-05-13","154326",2
"302","2010-05-14","154576",2
"303","2010-05-15","256346",1
"304","2010-05-16","102903",2
"305","2010-05-17","143691",2
"306","2010-05-18","143962",2
"307","2010-05-19","142525",2
"308","2010-05-20","160148",2
"309","2010-05-21","183471",2
"310","2010-05-22","239613",2
"311","2010-05-23","94253",2
"312","2010-05-24","150365",2
"313","2010-05-25","136980",2
"314","2010-05-26","140094",2
"315","2010-05-27","162385",2
"316","2010-05-28","199721",2
"317","2010-05-29","224441",2
"318","2010-05-30","119141",2
"319","2010-05-31","143361",2
"320","2010-06-01","175493",2
"321","2010-06-02","198469",2
"322","2010-06-03","203784",2
"323","2010-06-04","207698",2
"324","2010-06-05","227728",2
"325","2010-06-06","81738",2
"326","2010-06-07","145513",2
"327","2010-06-08","137016",2
"328","2010-06-09","127854",2
"329","2010-06-10","143644",2
"330","2010-06-11","158220",2
"331","2010-06-12","222457",2
