Date,mean_temp,rain
01/01/2018,6.1,2
02/01/2018,6.7,9
03/01/2018,7.8,4.2
04/01/2018,6.7,3.2
05/01/2018,4.6,0
06/01/2018,3.9,0.8
07/01/2018,2.7,0
08/01/2018,2.2,0
09/01/2018,3,0
10/01/2018,5.5,3.4
11/01/2018,6.4,0
12/01/2018,5.9,0
13/01/2018,5.5,0
14/01/2018,4.4,0.2
15/01/2018,7.1,8
16/01/2018,3,4.8
17/01/2018,3.8,6.8
18/01/2018,3.7,5.6
19/01/2018,3.5,2.4
20/01/2018,2.7,0.2
21/01/2018,1.8,4.6
22/01/2018,7.5,0.2
23/01/2018,10.3,0
24/01/2018,9.1,8.2
25/01/2018,6.6,3.2
26/01/2018,5.5,0.2
27/01/2018,8.4,0
28/01/2018,10.8,0.4
29/01/2018,8.3,0.4
30/01/2018,5.9,0
31/01/2018,4.6,4.4
01/02/2018,4.4,0.2
02/02/2018,4.9,0
03/02/2018,3,4.2
04/02/2018,3,0.2
05/02/2018,2.1,0
06/02/2018,1.2,0.4
07/02/2018,1.4,0
08/02/2018,6.1,1.4
09/02/2018,4.7,0.2
10/02/2018,5.8,3.6
11/02/2018,3.2,1.2
12/02/2018,3.3,0.2
13/02/2018,2.9,0.8
14/02/2018,2.8,4.4
15/02/2018,5.9,0
16/02/2018,5.2,0
17/02/2018,5.8,1.6
18/02/2018,5.4,1.4
19/02/2018,9.4,2.4
20/02/2018,7.9,1.4
21/02/2018,5.9,0.6
22/02/2018,3.1,0.2
23/02/2018,1.7,0
24/02/2018,3.1,0
25/02/2018,2.1,0
26/02/2018,0.6,0
27/02/2018,-0.9,0.6
28/02/2018,-3.7,0.6
01/03/2018,-2.1,0
02/03/2018,-0.1,0
03/03/2018,-0.3,0
04/03/2018,2.3,4.4
05/03/2018,5.6,1.2
06/03/2018,5.8,6
07/03/2018,5.2,0
08/03/2018,3.9,9.8
09/03/2018,6.5,3.8
10/03/2018,7.9,6.4
11/03/2018,7.8,0
12/03/2018,5.7,17
13/03/2018,6.9,0.2
14/03/2018,6.7,0
15/03/2018,6.1,4.6
16/03/2018,4.5,5.4
17/03/2018,0,0.8
18/03/2018,-0.5,0.6
19/03/2018,2.9,0.4
20/03/2018,5,0.2
21/03/2018,4.9,0.6
22/03/2018,8.5,0
23/03/2018,8.4,0.4
24/03/2018,7.6,0.8
25/03/2018,7.3,0
26/03/2018,7.1,0
27/03/2018,7.5,3.4
28/03/2018,6,0.8
29/03/2018,5.4,3.8
30/03/2018,6.2,3.2
31/03/2018,4,12.8
01/04/2018,3.6,0
02/04/2018,3.8,28.8
03/04/2018,10.1,0.8
04/04/2018,7.5,8.2
05/04/2018,7.3,0.2
06/04/2018,9.3,0
07/04/2018,10.4,0.6
08/04/2018,9.9,0
09/04/2018,8.3,3.8
10/04/2018,6.7,12.4
11/04/2018,6.3,0.2
12/04/2018,5.6,1.2
13/04/2018,7.7,1
14/04/2018,11.3,0
15/04/2018,10.1,0.8
16/04/2018,12.2,0
17/04/2018,13.2,0
18/04/2018,17.9,0
19/04/2018,19,0
20/04/2018,13.5,0
21/04/2018,14.8,2
22/04/2018,14.6,0.4
